18	349	373	566
350	374
351	375	568
352	376	569
353	377	570
354	378	571
355	379	572
356	380	573
357	381	574
358	382	575
359	383	576
360	384	577
361	385	578
362	386	579
363	387	580
364	388	581
365	582
1	366	583
36	413	606
37	390	414	607
38	391	415	608
392	416
393	417	610
394	418	611
395	419	612
396	420	613
397	421	614
398	422	615
399	423	616
400	424	617
401	425	618
402	426	619
403	427	620
404	428	621
405	622
19	406	430	623
20	407	624
21	408	625
56	453	646
57	454	647
58	431	455	648
59	432	456	649
60	433	457	650
434	458
435	459	652
436	460	653
437	461	654
438	462	655
439	463	656
440	464	657
441	465	658
442	466	659
443	467	660
444	468	661
445	662
39	446	470	663
40	447	471	664
41	448	665
42	449	666
43	450	667
78	493	686
79	494	687
80	495	688
81	472	496	689
82	473	497	690
83	474	498	691
84	475	499	692
476	500
477	501	694
478	502	695
479	503	696
480	504	697
481	505	698
482	506	699
483	507	700
484	508	701
485	702
61	486	510	703
62	487	511	704
63	488	512	705
64	489	706
65	490	707
66	491	708
67	492	709
102	533	726
103	534	727
104	535	728
105	536	729
106	513	537	730
107	514	538	731
108	515	539	732
109	516	540	733
110	517	541	734
518	542
519	543	736
520	544	737
521	545	738
522	546	739
523	547	740
524	548	741
525	742
85	526	550	743
86	527	551	744
87	528	552	745
88	529	553	746
89	530	747
90	531	748
91	532	749
92	533	750
93	534	751
128	573	766
129	574	767
130	575	768
131	576	769
132	577	770
133	554	578	771
134	555	579	772
135	556	580	773
136	557	581	774
137	558	582	775
138	559	583	776
560	584
561	585	778
562	586	779
563	587	780
564	588	781
565	782
111	566	590	783
112	567	591	784
113	568	592	785
114	569	593	786
115	570	594	787
116	571	788
117	572	789
118	573	790
119	574	791
120	575	792
121	576	793
156	613	806
157	614	807
158	615	808
159	616	809
160	617	810
161	618	811
162	595	619	812
163	596	620	813
164	597	621	814
165	598	622	815
166	599	623	816
167	600	624	817
168	601	625	818
602	626
603	627	820
604	628	821
605	822
139	606	630	823
140	607	631	824
141	608	632	825
142	609	633	826
143	610	634	827
144	611	635	828
145	612	829
146	613	830
147	614	831
148	615	832
149	616	833
150	617	834
151	618	835
186	653	846
187	654	847
188	655	848
189	656	849
190	657	850
191	658	851
192	659	852
193	636	660	853
194	637	661	854
195	638	662	855
196	639	663	856
197	640	664	857
198	641	665	858
199	642	666	859
200	643	667	860
644	668
645	862
169	646	670	863
170	647	671	864
171	648	672	865
172	649	673	866
173	650	674	867
174	651	675	868
175	652	676	869
176	653	870
177	654	871
178	655	872
179	656	873
180	657	874
181	658	875
182	659	876
183	660	877
693	886
219	694	887
220	695	888
221	696	889
222	697	890
223	698	891
224	699	892
225	700	893
226	677	701	894
227	678	702	895
228	679	703	896
229	680	704	897
230	681	705	898
231	682	706	899
232	683	707	900
233	684	708	901
234	685	902
686	710
202	687	711	904
203	688	712	905
204	689	713	906
205	690	714	907
206	691	715	908
207	692	716	909
208	693	717	910
209	694	911
210	695	912
211	696	913
212	697	914
213	698	915
214	699	916
215	700	917
216	701	918
217	702	919
252	733	926
253	734	927
735	928
255	736	929
256	737	930
257	738	931
258	739	932
259	740	933
260	741	934
261	718	742	935
262	719	743	936
263	720	744	937
264	721	745	938
265	722	746	939
266	723	747	940
267	724	748	941
268	725	942
235	269	726	750	943
236	270	727	751	944
728	752
238	729	753	946
239	730	754	947
240	731	755	948
241	732	756	949
242	733	757	950
243	734	758	951
244	735	952
245	736	953
246	737	954
247	738	955
248	739	956
249	740	957
250	741	958
251	742	959
252	743	960
253	744	961
288	773	966
289	774	967
290	775	968
291	776	969
777	970
293	778	971
294	779	972
295	780	973
296	781	974
297	782	975
298	759	783	976
299	760	784	977
300	761	785	978
301	762	786	979
302	763	787	980
303	764	788	981
304	765	982
271	305	766	790	983
272	306	767	791	984
273	307	768	792	985
274	308	769	793	986
770	794
276	771	795	988
277	772	796	989
278	773	797	990
279	774	798	991
280	775	799	992
281	776	993
282	777	994
283	778	995
284	779	996
285	780	997
286	781	998
287	782	999
288	783	1000
289	784	1001
290	785	1002
291	786	1003
326	813	1006
327	814	1007
328	815	1008
329	816	1009
330	817	1010
331	818	1011
819	1012
333	820	1013
334	821	1014
335	822	1015
336	823	1016
337	800	824	1017
338	801	825	1018
339	802	826	1019
340	803	827	1020
341	804	828	1021
342	805	1022
309	343	806	830	1023
310	344	807	831	1024
311	345	808	832	1025
312	346	809	833	1026
313	347	810	834	1027
314	348	811	835	1028
812	836
316	813	837	1030
317	814	838	1031
318	815	839	1032
319	816	840	1033
320	817	1034
321	818	1035
322	819	1036
323	820	1037
324	821	1038
325	822	1039
326	823	1040
327	824	1041
328	825	1042
329	826	1043
330	827	1044
331	828	1045
1	366	853
2	367	854	1046
3	368	855	1047
4	369	856	1048
5	370	857	1049
6	371	858	1050
7	372	859	1051
8	373	860	1052
9	861	1053
10	375	862	1054
11	376	863	1055
12	377	864	1056
13	378	841	865	1057
14	379	842	866	1058
15	380	843	867	1059
16	381	844	868	1060
17	382	845	1061
18	349	383	846	870	1062
350	384	847	871	1063
351	385	848	872	1064
352	386	849	873	1065
353	387	850	874	1066
354	388	851	875	1067
355	389	852	876	1068
1	356	853	877	1069
2	854	878
3	358	855	879	1071
4	359	856	880	1072
5	360	857	881	1073
6	361	858	1074
7	362	859	1075
8	363	860	1076
9	364	861	1077
10	365	862	1078
11	366	863	1079
12	367	864	1080
13	368	865	1081
14	369	866	1082
15	370	867	1083
16	371	868	1084
372	869	1085
20	407	894
21	408	895
22	409	896	1086
23	410	897	1087
24	411	898	1088
25	412	899	1089
26	413	900	1090
27	414	901	1091
28	415	902	1092
29	903	1093
30	417	904	1094
31	418	905	1095
32	419	882	906	1096
33	420	883	907	1097
34	421	884	908	1098
35	422	885	1099
36	423	886	910	1100
37	390	424	887	911	1101
38	391	425	888	912	1102
392	426	889	913	1103
393	427	890	914	1104
394	428	891	915	1105
395	429	892	916	1106
19	396	430	893	917	1107
20	397	894	918	1108
21	398	895	919	1109
22	896	920
23	400	897	921	1111
24	401	898	922	1112
25	402	899	1113
26	403	900	1114
27	404	901	1115
28	405	902	1116
29	406	903	1117
30	407	904	1118
31	408	905	1119
32	409	906	1120
33	410	907	1121
34	411	908	1122
412	909	1123
36	413	910
41	448	935
42	449	936
43	450	937
44	451	938	1124
45	452	939	1125
46	453	940	1126
47	454	941	1127
48	455	942	1128
49	456	943	1129
50	457	944	1130
51	945	1131
52	459	946	1132
53	460	923	947	1133
54	461	924	948	1134
55	462	925	1135
56	463	926	950	1136
57	464	927	951	1137
58	431	465	928	952	1138
59	432	466	929	953	1139
60	433	467	930	954	1140
434	468	931	955	1141
435	469	932	956	1142
39	436	470	933	957	1143
40	437	471	934	958	1144
41	438	935	959	1145
42	439	936	960	1146
43	440	937	961	1147
44	938	962
45	442	939	963	1149
46	443	940	1150
47	444	941	1151
48	445	942	1152
49	446	943	1153
50	447	944	1154
51	448	945	1155
52	449	946	1156
53	450	947	1157
54	451	948	1158
452	949	1159
56	453	950
57	454	951
64	489	976
65	490	977
66	491	978
67	492	979
68	493	980	1160
69	494	981	1161
70	495	982	1162
71	496	983	1163
72	497	984	1164
73	498	985	1165
74	499	986	1166
75	987	1167
76	501	964	988	1168
77	502	965	1169
78	503	966	990	1170
79	504	967	991	1171
80	505	968	992	1172
81	472	506	969	993	1173
82	473	507	970	994	1174
83	474	508	971	995	1175
84	475	509	972	996	1176
61	476	510	973	997	1177
62	477	511	974	998	1178
63	478	512	975	999	1179
64	479	976	1000	1180
65	480	977	1001	1181
66	481	978	1002	1182
67	482	979	1003	1183
68	980	1004
69	484	981	1185
70	485	982	1186
71	486	983	1187
72	487	984	1188
73	488	985	1189
74	489	986	1190
75	490	987	1191
76	491	988	1192
492	989	1193
78	493	990
79	494	991
80	495	992
89	530	1017
90	531	1018
91	532	1019
92	533	1020
93	534	1021
94	535	1022	1194
95	536	1023	1195
96	537	1024	1196
97	538	1025	1197
98	539	1026	1198
99	540	1027	1199
100	541	1028	1200
101	1201
102	543	1006	1030	1202
103	544	1007	1031	1203
104	545	1008	1032	1204
105	546	1009	1033	1205
106	513	547	1010	1034	1206
107	514	548	1011	1035	1207
108	515	549	1012	1036	1208
85	109	516	550	1013	1037	1209
86	110	517	551	1014	1038	1210
87	518	552	1015	1039	1211
88	519	553	1016	1040	1212
89	520	1017	1041	1213
90	521	1018	1042	1214
91	522	1019	1043	1215
92	523	1020	1044	1216
93	524	1021	1045	1217
94	1022
95	526	1023	1219
96	527	1024	1220
97	528	1025	1221
98	529	1026	1222
99	530	1027	1223
100	531	1028	1224
532	1029	1225
102	533	1030
103	534	1031
104	535	1032
105	536	1033
116	571	1057
117	572	1058
118	573	1059
119	574	1060
120	575	1061
121	576	1062
122	577	1063	1226
123	578	1064	1227
124	579	1065	1228
125	580	1066	1229
126	581	1067	1230
127	582	1231
1	128	583	1069	1232
129	1070	1233
3	130	585	1047	1071	1234
4	131	586	1048	1072	1235
5	132	587	1049	1073	1236
6	133	554	588	1050	1074	1237
7	134	555	589	1051	1075	1238
8	111	135	556	590	1052	1076	1239
9	112	136	557	591	1053	1077	1240
10	113	137	558	592	1054	1078	1241
11	114	138	559	593	1055	1079	1242
12	115	560	594	1056	1080	1243
13	116	561	1057	1081	1244
14	117	562	1058	1082	1245
15	118	563	1059	1083	1246
16	119	564	1060	1084	1247
17	120	565	1061	1248
18	121	566	1062	1249
122	1063
123	568	1064	1251
124	569	1065	1252
125	570	1066	1253
126	571	1067	1254
572	1068	1255
128	573	1069
129	574	1070
130	575	1071
131	576	1072
132	577	1073
145	612	1096
146	613	1097
147	614	1098
148	615	1099
149	616	1100
150	617	1101
151	618	1102
152	619	1103	1256
153	620	1104	1257
154	621	1105	1258
155	622	1259
19	156	623	1107	1260
20	157	624	1108	1261
21	158	625	1109	1262
159	1110	1263
23	160	627	1087	1111	1264
